n,time,substr
1,817,5273774778930192785
2,20,5273774778930192785
3,14,5273774778930192785
4,26,5273774778930192785
5,20,5273774778930192785
6,14,5273774778930192785
7,26,5273774778930192785
8,15,5273774778930192785
9,17,5273774778930192785
10,20,5273774778930192785
11,14,5273774778930192785
