n,time,memory,collisions,hash_calls,table_get,table_insert
1,0.00,2044,0,0,0,0
51,0.39,2300,0,0,0,0
101,1.40,2428,0,0,0,0
151,3.69,2556,0,0,0,0
201,5.92,2812,0,0,0,0
251,10.64,3148,0,0,0,0
