n,time,memory,collisions
100,0.03,3712,0
200,0.12,8064,0
300,0.29,14464,0
400,0.56,23412,0
500,0.96,34336,0
600,1.41,47916,0
700,2.11,63696,0
800,2.91,81680,0
900,3.93,101908,0
