n,time,memory,collisions
100,0.03,2432,0
200,0.10,2688,0
300,0.23,3072,0
400,0.42,3328,0
500,0.70,3816,0
600,1.05,4100,0
700,1.47,4444,0
800,1.97,4676,0
900,2.57,4944,0
