n,time,fn
369,2320362633,3183
370,2321168213,3082
371,2344775426,2799
372,2470134712,2675
373,2378759432,2876
374,2436441782,2740
375,2430943656,2998
376,2464785163,2723
377,2497528504,2966
378,2535478022,3082
379,2656012383,2873
380,2640134258,2963
381,2637443825,2943
382,2613536439,2724
383,2721651229,3168
384,2717768831,2891
385,2853669577,3032
386,2845887488,3122
387,2781855346,2880
388,2860173899,3177
389,2796424366,2866
390,2835546814,3191
391,2825247908,3011
392,2934370066,2776
393,3006294153,2872
394,2904992966,2885
395,2860464324,2703
396,2955070660,3329
397,2910658987,3218
398,2952464014,2602
399,2976673437,2736
400,2987021665,2876
401,3050835268,3471
402,3049141954,3149
403,3061375307,2943
404,3143449952,3176
405,3133090232,3178
406,3177789754,3167
407,3216493878,3046
408,3243058735,3320
409,3191753580,3055
410,3232380719,3102
411,3388512830,3352
412,3339035090,3176
413,3309497249,3480
414,3400503147,2998
415,3505043546,2998
416,3521431777,3109
417,3443461987,3273
418,3536170555,2939
419,3574694351,2904
420,3467375364,3400
421,3529512084,3685
422,3609407954,3004
423,3608519670,3079
424,3622225843,3226
425,3546326604,3239
426,3574606577,3535
427,3589191908,3292
428,3621572248,2872
429,3602934560,3383
430,3620690745,3413
431,3653872817,3428
432,3675984017,3337
433,3691897104,3286
434,3706732850,3682
435,3726311014,3541
436,3774717216,3501
437,3768857867,2857
438,3836801367,3091
439,3831137609,3540
440,3834532166,2955
441,3888594497,3383
442,3872894175,2949
443,3932062077,3520
444,3919373396,3385
445,3942507541,3292
446,4004839755,3524
447,4025713121,3625
448,4034844750,3314
449,4041643129,3166
450,4098025911,3397
451,4117241536,3139
452,4139607025,3398
453,4171312457,3467
454,4193040741,3777
455,4230201476,3421
456,4227780947,3725
457,4244297552,3510
458,4270326949,3785
459,4303396127,3536
460,4364157540,3657
461,4361848405,3737
462,4421587762,3696
463,4400327895,3148
464,4447948125,3080
465,4489149197,3628
466,4495316359,3475
467,4499103106,3864
468,4522798574,3186
469,4590157951,3560
470,4602212348,3846
471,4637984795,3986
472,4639244898,3303
473,4654567380,3688
474,4732694035,3404
475,4735761584,3640
476,4772257084,3812
477,4817219379,3624
478,6067175037,3944
479,6572775499,3654
480,6597619417,3541
481,6566113127,3618
482,6582799146,3766
