n,time,fn
380,7260582,2782
381,7175290,2617
382,7335180,2460
383,7371355,2900
384,7326809,2703
385,7259429,3058
386,7377319,3070
387,7371796,2844
388,7317256,2552
389,7420552,2976
390,7478750,3431
391,7912710,2837
392,7696036,2943
393,7595407,2665
394,7680068,3241
395,7941117,3064
396,7807751,3249
397,7667308,2978
398,7771805,3058
399,7773550,3342
400,7932657,3155
401,7838945,2583
402,7890487,2489
403,8039912,3145
404,7970538,3089
405,7971500,2988
406,8277686,2948
407,8043380,3199
408,8026120,3343
409,8342280,3190
410,8130547,3493
411,8092797,2972
412,8335704,3352
413,8343402,3054
414,8402944,2933
415,8353747,2858
416,9079459,3120
417,8426540,3288
418,8454967,3278
419,8546845,3346
420,8489198,3297
421,8594007,3152
422,8663892,3618
423,8905727,3266
424,8730430,3066
425,8841394,3519
426,8823171,3006
427,8887102,3215
428,8944879,3443
429,9047774,3546
430,8957529,3173
431,9071119,3323
432,9475168,3361
433,8951405,3293
434,9164050,3386
435,9147450,3150
436,9132475,3208
437,9213818,3621
438,9199855,3444
439,9579135,2998
440,9361127,3379
441,9435093,3601
442,9384754,3139
443,9442952,2907
444,9560862,3481
445,9423436,3473
446,9509740,3761
447,9572880,3280
448,10132068,3400
449,9800149,3409
450,9843202,3598
451,9640881,3192
452,9900588,3478
453,10575018,2914
454,9824377,3622
455,9923342,3514
456,9996746,3585
457,9964319,3584
458,9994952,3635
459,10153789,3384
460,10420442,3303
461,10067314,3500
462,10082440,3187
463,10339911,3289
464,10529401,3610
465,10412193,3672
466,10387605,4111
467,10700867,3839
468,10634610,3281
469,10514425,3652
470,10526394,3554
471,10853360,3916
472,10776297,3694
473,10808914,3188
474,11077160,4012
475,10872284,3654
476,10941158,3934
477,10775314,3372
478,346847163,3645
479,10901283,4314
480,10854983,3949
481,10863914,3353
482,11038789,3718
483,11169710,3988
484,11010572,3446
485,10956264,3888
486,11173259,3776
487,11158904,3428
488,11160559,3754
489,11266560,3630
490,11402522,3852
491,11202188,3898
492,11486963,4199
493,11329339,3629
494,11518257,3912
495,13138874,3865
496,14986960,4297
497,11518167,4013
498,11603390,3849
499,11800517,3981
500,11570692,3675
