n,time,memory,collisions
13351,0.55,14716,0
13401,0.56,14716,0
13451,0.57,14712,0
13501,0.57,14708,0
13551,0.57,14704,0
13601,0.60,14708,0
13651,0.58,14716,0
13701,0.58,14708,0
13751,0.61,14700,0
13801,0.62,14708,0
13851,0.60,14692,0
13901,0.60,14708,0
13951,0.59,14716,0
14001,0.60,14680,0
14051,0.62,14636,0
14101,0.61,14592,0
14151,0.61,14580,0
14201,0.61,14612,0
14251,0.62,14696,0
14301,0.63,14692,0
14351,0.62,14716,0
14401,0.62,14820,0
14451,0.64,14916,0
14501,0.65,14788,0
14551,0.64,15000,0
14601,0.66,15144,0
14651,0.67,15568,0
14701,0.66,15580,0
14751,0.66,15588,0
14801,0.68,15584,0
14851,0.67,15576,0
14901,0.68,15580,0
14951,0.67,15588,0
15001,0.68,15576,0
15051,0.69,15584,0
15101,0.70,15572,0
15151,0.70,15580,0
15201,0.71,15532,0
15251,0.71,15584,0
15301,0.72,15576,0
15351,0.70,15548,0
15401,0.71,15576,0
15451,0.72,15544,0
15501,0.73,15572,0
15551,0.73,15568,0
15601,0.73,15540,0
15651,0.73,15580,0
15701,0.74,15580,0
15751,0.73,15580,0
15801,0.75,15580,0
15851,0.76,15756,0
15901,0.79,15576,0
15951,0.77,15580,0
16001,0.77,15584,0
16051,0.78,15580,0
16101,0.80,15492,0
16151,0.78,15588,0
16201,0.79,15684,0
16251,0.80,15812,0
16301,0.80,15804,0
16351,0.81,15920,0
16401,0.82,15936,0
16451,0.82,16576,0
16501,0.83,16580,0
16551,0.83,16388,0
16601,0.84,16532,0
16651,0.83,16448,0
16701,0.84,16568,0
16751,0.85,16568,0
16801,0.86,16568,0
16851,0.86,16568,0
16901,0.88,16580,0
16951,0.86,16472,0
17001,0.87,16584,0
17051,0.89,16568,0
17101,0.90,16564,0
17151,0.91,16584,0
17201,0.91,16568,0
17251,0.91,16488,0
17301,0.89,16556,0
17351,0.90,16568,0
17401,0.89,16576,0
17451,0.91,16580,0
17501,0.92,16564,0
17551,0.95,16480,0
17601,0.95,16512,0
17651,0.93,16568,0
17701,0.95,16568,0
17751,0.94,16648,0
17801,0.94,16568,0
17851,0.94,16452,0
17901,0.97,16572,0
17951,0.97,16568,0
18001,0.97,16576,0
18051,0.97,16516,0
18101,0.98,16672,0
18151,0.97,16576,0
18201,0.99,16568,0
18251,0.99,16576,0
18301,1.00,16808,0
18351,1.01,16804,0
18401,1.05,17492,0
18451,1.07,17448,0
18501,1.01,17544,0
18551,1.05,17444,0
18601,1.03,17444,0
18651,1.06,17432,0
18701,1.07,17432,0
18751,1.05,17448,0
18801,1.05,17444,0
18851,1.09,17432,0
18901,1.07,17452,0
18951,1.10,17440,0
19001,1.10,17268,0
19051,1.12,17444,0
19101,1.11,17420,0
19151,1.10,17444,0
19201,1.09,17472,0
19251,1.12,17344,0
19301,1.11,17416,0
19351,1.14,17440,0
19401,1.11,17444,0
19451,1.12,17336,0
19501,1.12,17448,0
19551,1.13,17420,0
19601,1.16,17516,0
19651,1.15,17456,0
19701,1.15,17448,0
19751,1.15,17444,0
19801,1.22,17392,0
19851,1.18,17436,0
19901,1.15,17436,0
19951,1.17,17324,0
20001,1.22,17440,0
20051,1.25,17436,0
20101,1.21,17544,0
20151,1.19,17448,0
20201,1.22,17448,0
20251,1.22,17452,0
20301,1.19,17448,0
20351,1.20,17556,0
20401,1.23,17676,0
20451,1.21,17688,0
20501,1.22,18324,0
20551,1.23,18316,0
20601,1.30,18384,0
20651,1.31,18324,0
20701,1.27,18448,0
20751,1.28,18316,0
20801,1.29,18184,0
20851,1.27,18328,0
20901,1.31,18320,0
20951,1.34,18300,0
21001,1.30,18320,0
21051,1.31,18324,0
21101,1.32,18312,0
21151,1.32,18332,0
21201,1.31,18316,0
21251,1.35,18324,0
21301,1.38,18324,0
21351,1.34,18324,0
21401,1.34,18324,0
21451,1.35,18300,0
21501,1.36,18324,0
21551,1.39,18324,0
21601,1.40,18328,0
21651,1.38,18324,0
21701,1.39,18328,0
21751,1.40,18288,0
21801,1.40,18260,0
21851,1.40,18356,0
21901,1.41,18324,0
21951,1.45,18384,0
22001,1.53,18324,0
22051,1.51,18344,0
22101,1.52,18320,0
22151,1.52,18220,0
22201,1.46,18320,0
22251,1.49,18324,0
22301,1.47,18308,0
22351,1.53,18316,0
22401,1.55,18216,0
22451,1.59,18052,0
22501,1.60,18312,0
22551,1.51,18328,0
