n,time,memory,collisions
12751,0.59,13768,4254
12801,0.59,13932,4282
12851,0.59,14036,4311
12901,0.61,14084,4337
12951,0.62,14192,4370
13001,0.62,14700,4402
13051,0.62,14568,4437
13101,0.65,14580,4469
13151,0.63,14748,4504
13201,0.64,14644,4527
13251,0.63,14560,4559
13301,0.63,14692,4588
13351,0.65,14644,4619
13401,0.64,14688,4648
13451,0.65,14664,4674
13501,0.66,14696,4700
13551,0.66,14704,4730
13601,0.66,14696,4765
13651,0.68,14700,4790
13701,0.68,14696,4822
13751,0.68,14688,4852
13801,0.68,14572,4886
13851,0.69,14660,4917
13901,0.68,14692,4950
13951,0.70,14704,4986
14001,0.71,14448,5014
14051,0.71,14568,5050
14101,0.70,14692,5080
14151,0.74,14704,5112
14201,0.75,14696,5149
14251,0.74,14696,5178
14301,0.73,14696,5206
14351,0.75,14644,5240
14401,0.74,14808,5279
14451,0.77,14804,5313
14501,0.75,14936,5344
14551,0.75,14948,5375
14601,0.77,15072,5409
14651,0.78,15456,5435
14701,0.77,15588,5467
14751,0.79,15660,5501
14801,0.81,15436,5542
14851,0.78,15568,5576
14901,0.78,15456,5605
14951,0.79,15560,5634
15001,0.80,15576,5659
15051,0.80,15580,5691
15101,0.82,15564,5724
15151,0.83,15400,5759
15201,0.81,15580,5798
15251,0.85,15568,5825
15301,0.86,15564,5852
15351,0.85,15488,5884
15401,0.85,15484,5923
15451,0.84,15380,5953
15501,0.85,15576,5986
15551,0.84,15572,6018
15601,0.87,15576,6053
15651,0.86,15444,6088
15701,0.88,15444,6123
15751,0.89,15444,6153
15801,0.92,15560,6187
15851,0.89,15572,6223
15901,0.91,15536,6249
15951,0.93,15460,6282
16001,0.92,15580,6315
16051,0.92,15584,6351
16101,0.96,15588,6382
16151,0.96,15600,6412
16201,0.93,15680,6441
16251,0.95,15688,6474
16301,0.95,15800,6507
16351,1.01,15892,6541
16401,0.95,16576,6580
16451,1.00,16556,6613
16501,0.96,16508,6642
16551,1.00,16564,6677
16601,0.97,16476,6715
16651,1.01,16508,6753
16701,0.99,16448,6792
16751,0.99,16568,6824
16801,1.05,16336,6859
16851,1.01,16352,6891
16901,1.02,16452,6925
16951,1.06,16432,6956
17001,1.03,16576,6989
17051,1.02,16404,7020
17101,1.04,16480,7052
17151,1.09,16456,7086
17201,1.06,16536,7125
17251,1.04,16568,7162
17301,1.05,16448,7195
17351,1.07,16520,7234
17401,1.10,16576,7266
17451,1.08,16408,7299
17501,1.07,16468,7339
17551,1.12,16500,7373
17601,1.14,16568,7409
17651,1.13,16320,7438
17701,1.10,16560,7472
17751,1.12,16488,7510
17801,1.13,16560,7544
17851,1.14,16544,7582
17901,1.11,16564,7614
17951,1.16,16560,7651
18001,1.16,16404,7688
18051,1.12,16552,7723
18101,1.15,16468,7760
18151,1.17,16536,7798
18201,1.18,16572,7838
18251,1.18,16596,7873
18301,1.17,16740,7905
18351,1.23,17240,7939
18401,1.20,17436,7978
18451,1.22,17412,8011
18501,1.21,17432,8043
18551,1.22,17428,8077
18601,1.26,17320,8116
18651,1.20,17424,8155
18701,1.29,17300,8187
18751,1.25,17428,8218
18801,1.28,17292,8255
18851,1.27,17416,8291
18901,1.28,17296,8327
18951,1.28,17416,8366
19001,1.30,17436,8403
19051,1.27,17292,8435
19101,1.28,17296,8473
19151,1.31,17432,8504
19201,1.28,17300,8544
19251,1.30,17448,8576
19301,1.31,17428,8613
19351,1.31,17428,8648
19401,1.32,17424,8692
19451,1.32,17432,8725
19501,1.35,17416,8766
19551,1.39,17420,8801
19601,1.37,17432,8837
19651,1.38,17420,8875
19701,1.38,17428,8918
19751,1.36,17296,8950
19801,1.37,17428,8986
19851,1.37,17292,9018
19901,1.39,17412,9053
19951,1.42,17420,9082
20001,1.41,17368,9118
20051,1.46,17360,9152
20101,1.44,17292,9191
20151,1.42,17300,9226
20201,1.40,17296,9263
20251,1.41,17300,9299
20301,1.42,17544,9340
20351,1.43,17304,9377
20401,1.44,17532,9414
20451,1.45,18236,9451
20501,1.43,18404,9493
20551,1.45,18316,9527
20601,1.53,18392,9565
20651,1.49,18288,9601
20701,1.53,18320,9638
20751,1.51,18164,9677
20801,1.56,18292,9714
20851,1.53,18308,9746
20901,1.53,18316,9780
20951,1.55,18312,9822
21001,1.54,18276,9864
21051,1.57,18324,9904
21101,1.57,18300,9942
21151,1.59,18308,9976
21201,1.56,18292,10016
21251,1.59,18312,10055
21301,1.57,18192,10100
21351,1.59,18332,10139
21401,1.60,18188,10180
21451,1.60,18308,10216
21501,1.64,18308,10253
21551,1.62,18244,10293
21601,1.61,18312,10328
21651,1.64,18312,10364
21701,1.62,18308,10404
21751,1.60,18280,10446
21801,1.67,18180,10486
21851,1.69,18188,10526
21901,1.66,18184,10568
21951,1.65,18320,10608
22001,1.72,18248,10643
22051,1.66,18180,10684
22101,1.69,18252,10728
22151,1.68,18132,10768
22201,1.67,18316,10803
22251,1.69,18312,10843
22301,1.70,18176,10880
22351,1.70,18308,10920
22401,1.70,18316,10958
22451,1.71,18308,10997
22501,1.75,18176,11036
22551,1.74,18304,11077
22601,1.79,18412,11119
22651,1.73,18404,11157
22701,1.74,18492,11193
22751,1.80,19044,11235
22801,1.78,19168,11272
22851,1.79,19040,11313
22901,1.78,19056,11350
22951,1.76,19176,11387
23001,1.79,19180,11425
23051,1.80,18924,11465
23101,1.80,19116,11506
23151,1.81,19056,11547
23201,1.81,19140,11586
23251,1.89,19008,11627
23301,1.83,19080,11664
23351,1.88,19052,11705
23401,1.85,19176,11749
23451,1.92,19172,11785
23501,1.86,19096,11819
23551,1.88,19268,11861
23601,1.92,19172,11901
23651,1.86,19176,11944
23701,1.92,19172,11980
23751,1.88,19124,12013
23801,1.89,19156,12055
23851,1.97,19052,12101
23901,1.92,19168,12141
23951,2.01,19084,12182
24001,1.94,18956,12226
24051,1.95,19136,12268
24101,1.97,19104,12312
24151,1.98,19164,12352
24201,2.00,19168,12394
24251,2.07,19140,12437
24301,1.99,19108,12479
24351,2.03,19168,12523
24401,2.02,19156,12570
24451,2.00,19044,12607
24501,2.01,19180,12648
24551,2.04,19032,12688
24601,2.05,19168,12733
24651,2.07,19228,12769
24701,2.07,19116,12811
24751,2.12,19032,12855
24801,2.06,19176,12895
24851,2.11,19160,12931
24901,2.07,19148,12973
24951,2.08,19156,13012
25001,2.17,19156,13053
25051,2.11,18984,13096
25101,2.16,19244,13136
25151,2.16,19308,13174
25201,2.14,20008,13215
25251,2.18,20016,13252
25301,2.17,19996,13284
25351,2.17,20016,13326
25401,2.18,20004,13374
25451,2.18,20008,13419
25501,2.17,20004,13464
25551,2.25,20008,13503
25601,2.23,19796,13546
25651,2.26,19972,13587
25701,2.21,20040,13631
25751,2.23,19968,13676
25801,2.21,20008,13719
25851,2.26,20028,13757
25901,2.32,20004,13799
25951,2.26,20016,13839
26001,2.26,20012,13878
26051,2.28,20008,13917
26101,2.31,20008,13959
26151,2.31,20004,14002
26201,2.33,20008,14044
26251,2.33,20000,14087
26301,2.41,20000,14128
26351,2.38,20012,14173
26401,2.36,20000,14213
26451,2.45,20020,14254
26501,2.35,20016,14297
26551,2.37,20012,14337
26601,2.38,20020,14377
26651,2.52,20028,14417
26701,2.43,19920,14463
26751,2.41,20024,14505
26801,2.43,20004,14542
26851,2.48,20000,14583
26901,2.40,20012,14626
26951,2.40,20016,14662
27001,2.54,20020,14706
27051,2.53,20012,14748
27101,2.45,20020,14793
27151,2.45,20016,14833
27201,2.58,20012,14876
27251,2.55,19968,14915
27301,2.47,20000,14959
27351,2.49,19980,15000
27401,2.56,20004,15042
27451,2.51,20040,15081
27501,2.52,19880,15126
27551,2.58,19916,15171
27601,2.55,20024,15215
27651,2.56,20020,15256
27701,2.59,19928,15298
27751,2.54,19876,15345
27801,2.61,20620,15385
27851,2.63,20760,15426
27901,2.69,20756,15465
27951,2.56,20632,15507
28001,2.69,20768,15547
28051,2.80,20608,15589
28101,2.79,20752,15629
28151,2.76,20768,15673
28201,2.71,20760,15717
28251,2.69,20756,15756
28301,2.78,20764,15802
28351,2.73,20756,15841
28401,2.67,20764,15882
28451,2.71,20708,15925
28501,2.78,20768,15969
28551,2.83,20764,16007
28601,2.74,20724,16051
28651,2.79,20772,16096
28701,2.82,20764,16140
28751,2.91,20760,16182
28801,2.85,20648,16223
28851,2.77,20696,16267
28901,2.81,20644,16313
28951,2.82,20708,16354
29001,2.80,20732,16392
29051,2.79,20764,16436
29101,2.85,20628,16477
29151,2.86,20756,16521
29201,2.88,20760,16562
29251,2.89,20712,16606
29301,2.94,20572,16648
29351,2.91,20776,16694
29401,2.96,20760,16740
29451,2.90,20760,16783
29501,2.90,20648,16830
29551,2.94,20652,16878
29601,2.89,20764,16921
29651,2.88,20756,16962
29701,2.93,20568,17006
29751,2.98,20764,17050
29801,2.93,20640,17092
29851,2.95,20684,17136
29901,3.00,20644,17175
29951,3.04,20760,17221
30001,2.96,20760,17266
30051,3.10,20764,17310
30101,3.06,20732,17354
30151,3.08,20764,17399
30201,3.04,20744,17445
30251,3.07,20628,17486
30301,3.01,20756,17528
30351,3.16,20640,17572
30401,3.14,20764,17616
30451,3.09,20648,17661
30501,3.10,21488,17703
30551,3.10,21496,17748
30601,3.13,21492,17792
30651,3.19,21492,17834
30701,3.12,21360,17874
30751,3.10,21496,17922
30801,3.17,21352,17968
30851,3.19,21516,18012
30901,3.24,21484,18055
30951,3.30,21484,18101
31001,3.16,21512,18144
31051,3.20,21496,18188
31101,3.19,21368,18230
31151,3.17,21496,18271
31201,3.21,21476,18319
31251,3.25,21368,18362
31301,3.30,21496,18411
31351,3.27,21484,18455
31401,3.26,21480,18496
31451,3.45,21460,18535
31501,3.26,21480,18579
31551,3.42,21372,18621
31601,3.38,21480,18666
31651,3.34,21484,18712
31701,3.44,21492,18757
31751,3.30,21484,18798
31801,3.41,21484,18842
31851,3.43,21360,18882
31901,3.37,21484,18927
31951,3.33,21360,18965
32001,3.36,21488,19010
32051,3.48,21592,19053
32101,3.37,21488,19095
32151,3.32,21400,19140
32201,3.39,21496,19184
32251,3.42,21468,19229
32301,3.54,21536,19275
32351,3.49,21424,19322
32401,3.43,21348,19368
32451,3.53,21460,19409
32501,3.48,21544,19455
32551,3.59,21488,19501
32601,3.65,21368,19544
32651,3.68,21448,19586
32701,3.69,21340,19630
32751,3.55,21380,19676
32801,3.58,21476,19722
32851,3.58,21480,19766
32901,3.62,21360,19805
32951,3.63,21456,19848
33001,3.65,21408,19892
33051,3.66,21480,19940
33101,3.64,21356,19982
33151,3.77,21488,20026
33201,3.71,21400,20074
33251,3.71,21500,20123
33301,3.68,21492,20164
33351,3.74,22164,20208
33401,3.75,21924,20253
33451,3.72,22168,20299
33501,3.67,22120,20347
33551,3.78,22172,20390
33601,3.70,21932,20438
