n,time,fn
1,20,4
2,27,47
3,13,82
4,20,84
5,20,93
6,14,129
7,13,142
8,17,155
9,13,173
10,18,187
11,13,191
12,18,212
13,14,219
14,16,220
15,15,224
16,20,243
17,17,254
18,21,284
19,13,309
20,14,317
21,17,348
22,21,385
23,22,386
24,13,390
25,20,399
26,13,418
27,14,425
28,13,451
29,20,475
30,13,484
31,15,506
32,13,545
33,15,555
34,18,577
35,14,595
36,15,615
37,15,633
38,13,647
39,17,655
40,15,677
41,20,689
42,13,692
43,15,701
44,20,723
45,14,745
46,13,755
47,13,765
48,20,790
