n,time,memory,collisions,hash_calls
1,0.00,1792,0,0
6,0.00,2048,0,0
11,0.00,2432,0,0
16,0.00,2816,0,0
21,0.01,3424,0,0
26,0.01,3552,0,0
31,0.01,3712,0,0
36,0.02,5104,0,0
41,0.02,5152,0,0
46,0.03,5180,0,0
