n,time,memory,collisions,hash_calls
1,0.00,1920,0,0
6,0.00,2176,0,0
11,0.00,2176,0,0
16,0.01,2048,0,0
21,0.34,2176,0,0
26,0.77,2176,0,0
31,1.62,2176,0,0
36,8.30,2304,0,0
41,113.84,2432,0,0
46,327.93,2176,0,0
