n,time,memory,collisions
25100,0.17,31956,13137
25200,0.17,31964,13215
25300,0.17,31952,13285
25400,0.18,31852,13374
25500,0.17,31736,13464
25600,0.17,31964,13546
25700,0.17,31956,13631
25800,0.18,31944,13719
25900,0.18,31868,13799
26000,0.18,32032,13878
26100,0.18,32156,13959
26200,0.18,32272,14044
26300,0.18,32548,14129
26400,0.19,33940,14213
26500,0.19,33944,14297
26600,0.19,33972,14377
26700,0.19,33956,14463
26800,0.18,33944,14543
26900,0.19,33944,14626
27000,0.19,33952,14706
27100,0.19,33964,14793
27200,0.19,33952,14876
27300,0.19,33956,14959
27400,0.19,33960,15042
27500,0.19,33952,15126
27600,0.19,33968,15215
27700,0.19,33940,15298
27800,0.19,33936,15385
27900,0.19,33964,15465
28000,0.19,33844,15548
28100,0.19,33952,15629
28200,0.20,33948,15717
28300,0.20,33948,15802
28400,0.20,33940,15882
28500,0.20,33944,15969
28600,0.20,33884,16051
28700,0.19,33932,16140
28800,0.20,33940,16223
28900,0.20,33820,16313
29000,0.20,33952,16393
29100,0.20,33880,16477
29200,0.20,33960,16562
29300,0.20,33952,16648
29400,0.20,33952,16740
29500,0.20,33940,16830
29600,0.20,33968,16921
29700,0.20,33940,17006
29800,0.20,33960,17092
29900,0.20,33952,17175
