n,time,memory,collisions
1801,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1851,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1901,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
1951,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2001,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2051,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2101,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2151,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2201,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 41, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2251,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2301,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2351,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2401,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2451,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2501,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2551,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2601,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2651,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2701,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2751,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2801,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2851,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
2901,Panic in /home/caio/code/hush-benchmarks/src/oo/nbody/nbody.hsh (line 43, column 8): std.panic("cannot mutate a memoized object")Command exited with non-zero status 1270.00,2304,0
