n,time,memory,collisions,hash_calls,table_get,table_insert
17700,0.21,27004,0,0,0,0
17800,0.21,27028,0,0,0,0
17900,0.21,27004,0,0,0,0
18000,0.22,26984,0,0,0,0
18100,0.21,27008,0,0,0,0
18200,0.22,27012,0,0,0,0
18300,0.22,27012,0,0,0,0
18400,0.22,26912,0,0,0,0
18500,0.22,27008,0,0,0,0
18600,0.22,27008,0,0,0,0
18700,0.24,26992,0,0,0,0
18800,0.25,28268,0,0,0,0
18900,0.25,28260,0,0,0,0
19000,0.25,28260,0,0,0,0
19100,0.23,28284,0,0,0,0
19200,0.23,28256,0,0,0,0
19300,0.23,28244,0,0,0,0
19400,0.23,28184,0,0,0,0
19500,0.24,28204,0,0,0,0
19600,0.24,28256,0,0,0,0
19700,0.23,28172,0,0,0,0
19800,0.24,28244,0,0,0,0
19900,0.24,28264,0,0,0,0
20000,0.23,28072,0,0,0,0
20100,0.24,28264,0,0,0,0
20200,0.24,28264,0,0,0,0
20300,0.24,28252,0,0,0,0
20400,0.24,28148,0,0,0,0
20500,0.26,28256,0,0,0,0
20600,0.27,29380,0,0,0,0
20700,0.26,29380,0,0,0,0
20800,0.27,29348,0,0,0,0
20900,0.25,29396,0,0,0,0
21000,0.25,29376,0,0,0,0
21100,0.25,29396,0,0,0,0
21200,0.26,29316,0,0,0,0
21300,0.25,29380,0,0,0,0
21400,0.25,29392,0,0,0,0
21500,0.26,29396,0,0,0,0
21600,0.26,29356,0,0,0,0
21700,0.25,29368,0,0,0,0
21800,0.26,29332,0,0,0,0
21900,0.26,29328,0,0,0,0
22000,0.26,29392,0,0,0,0
22100,0.28,29392,0,0,0,0
22200,0.30,29388,0,0,0,0
22300,0.29,29384,0,0,0,0
22400,0.30,30440,0,0,0,0
22500,0.27,30248,0,0,0,0
22600,0.28,30444,0,0,0,0
22700,0.27,30448,0,0,0,0
22800,0.29,30464,0,0,0,0
22900,0.28,30460,0,0,0,0
23000,0.27,30328,0,0,0,0
23100,0.27,30480,0,0,0,0
23200,0.27,30456,0,0,0,0
23300,0.28,30324,0,0,0,0
23400,0.29,30432,0,0,0,0
23500,0.28,30328,0,0,0,0
23600,0.29,30444,0,0,0,0
23700,0.31,30504,0,0,0,0
23800,0.32,30436,0,0,0,0
23900,0.31,30456,0,0,0,0
24000,0.29,30336,0,0,0,0
24100,0.29,30452,0,0,0,0
24200,0.29,30444,0,0,0,0
24300,0.29,31428,0,0,0,0
24400,0.29,31420,0,0,0,0
24500,0.30,31464,0,0,0,0
24600,0.29,31360,0,0,0,0
24700,0.29,31436,0,0,0,0
24800,0.31,31344,0,0,0,0
24900,0.30,31336,0,0,0,0
25000,0.30,31436,0,0,0,0
25100,0.33,31436,0,0,0,0
25200,0.33,31392,0,0,0,0
25300,0.33,31436,0,0,0,0
25400,0.31,31432,0,0,0,0
25500,0.31,31408,0,0,0,0
25600,0.30,31420,0,0,0,0
25700,0.30,31440,0,0,0,0
25800,0.30,31448,0,0,0,0
25900,0.31,31324,0,0,0,0
26000,0.31,31300,0,0,0,0
26100,0.32,31424,0,0,0,0
26200,0.32,32340,0,0,0,0
26300,0.33,32368,0,0,0,0
26400,0.31,32368,0,0,0,0
26500,0.36,32356,0,0,0,0
26600,0.35,32364,0,0,0,0
26700,0.34,32372,0,0,0,0
26800,0.32,32316,0,0,0,0
26900,0.32,32316,0,0,0,0
27000,0.31,32228,0,0,0,0
27100,0.32,32284,0,0,0,0
27200,0.32,32212,0,0,0,0
27300,0.32,32436,0,0,0,0
27400,0.33,32376,0,0,0,0
27500,0.32,32264,0,0,0,0
27600,0.32,32372,0,0,0,0
27700,0.33,32380,0,0,0,0
27800,0.37,32360,0,0,0,0
27900,0.37,32248,0,0,0,0
28000,0.37,32456,0,0,0,0
28100,0.33,32340,0,0,0,0
28200,0.33,32420,0,0,0,0
28300,0.35,33136,0,0,0,0
28400,0.34,33068,0,0,0,0
28500,0.34,33192,0,0,0,0
28600,0.34,33192,0,0,0,0
28700,0.34,33188,0,0,0,0
28800,0.35,33220,0,0,0,0
28900,0.35,33192,0,0,0,0
29000,0.36,33176,0,0,0,0
29100,0.40,33076,0,0,0,0
29200,0.39,33208,0,0,0,0
29300,0.35,33072,0,0,0,0
29400,0.35,33164,0,0,0,0
29500,0.35,33172,0,0,0,0
29600,0.36,33200,0,0,0,0
29700,0.35,33196,0,0,0,0
29800,0.35,33216,0,0,0,0
29900,0.35,33180,0,0,0,0
