n,time,memory,collisions,hash_calls,table_get,table_insert
17700,0.21,27260,0,0,0,0
17800,0.22,27220,0,0,0,0
17900,0.21,27268,0,0,0,0
18000,0.22,27272,0,0,0,0
18100,0.22,27264,0,0,0,0
18200,0.23,27260,0,0,0,0
18300,0.22,27244,0,0,0,0
18400,0.22,27252,0,0,0,0
18500,0.22,27268,0,0,0,0
18600,0.25,27240,0,0,0,0
18700,0.25,27264,0,0,0,0
18800,0.24,27264,0,0,0,0
18900,0.24,27264,0,0,0,0
19000,0.23,28404,0,0,0,0
19100,0.23,28408,0,0,0,0
19200,0.23,28412,0,0,0,0
19300,0.24,28408,0,0,0,0
19400,0.24,28416,0,0,0,0
19500,0.23,28396,0,0,0,0
19600,0.24,28404,0,0,0,0
19700,0.24,28244,0,0,0,0
19800,0.23,28420,0,0,0,0
19900,0.24,28404,0,0,0,0
20000,0.24,28288,0,0,0,0
20100,0.24,28400,0,0,0,0
20200,0.24,28412,0,0,0,0
20300,0.24,28400,0,0,0,0
20400,0.26,28392,0,0,0,0
20500,0.28,28408,0,0,0,0
20600,0.27,28412,0,0,0,0
20700,0.27,29548,0,0,0,0
20800,0.25,29516,0,0,0,0
20900,0.25,29508,0,0,0,0
21000,0.26,29520,0,0,0,0
21100,0.25,29520,0,0,0,0
21200,0.25,29532,0,0,0,0
21300,0.25,29532,0,0,0,0
21400,0.26,29516,0,0,0,0
21500,0.25,29552,0,0,0,0
21600,0.26,29432,0,0,0,0
21700,0.26,29528,0,0,0,0
21800,0.25,29544,0,0,0,0
21900,0.25,29524,0,0,0,0
22000,0.27,29520,0,0,0,0
22100,0.30,29540,0,0,0,0
22200,0.30,29516,0,0,0,0
22300,0.29,29492,0,0,0,0
22400,0.27,29520,0,0,0,0
22500,0.27,30568,0,0,0,0
22600,0.28,30588,0,0,0,0
22700,0.28,30508,0,0,0,0
22800,0.27,30556,0,0,0,0
22900,0.27,30628,0,0,0,0
23000,0.27,30460,0,0,0,0
23100,0.27,30588,0,0,0,0
23200,0.27,30468,0,0,0,0
23300,0.27,30500,0,0,0,0
23400,0.28,30540,0,0,0,0
23500,0.27,30584,0,0,0,0
23600,0.31,30488,0,0,0,0
23700,0.32,30564,0,0,0,0
23800,0.30,30572,0,0,0,0
23900,0.31,30516,0,0,0,0
24000,0.28,30532,0,0,0,0
24100,0.28,30576,0,0,0,0
24200,0.29,30580,0,0,0,0
24300,0.29,30588,0,0,0,0
24400,0.29,31568,0,0,0,0
24500,0.29,31584,0,0,0,0
24600,0.29,31492,0,0,0,0
24700,0.30,31492,0,0,0,0
24800,0.30,31580,0,0,0,0
24900,0.29,31548,0,0,0,0
25000,0.29,31544,0,0,0,0
25100,0.35,31580,0,0,0,0
25200,0.34,31556,0,0,0,0
25300,0.33,31568,0,0,0,0
25400,0.29,31568,0,0,0,0
25500,0.30,31548,0,0,0,0
25600,0.31,31504,0,0,0,0
25700,0.31,31564,0,0,0,0
25800,0.30,31576,0,0,0,0
25900,0.30,31580,0,0,0,0
26000,0.30,31564,0,0,0,0
26100,0.30,31572,0,0,0,0
26200,0.30,31572,0,0,0,0
26300,0.32,31584,0,0,0,0
26400,0.31,32492,0,0,0,0
26500,0.36,32512,0,0,0,0
26600,0.37,32544,0,0,0,0
26700,0.35,32496,0,0,0,0
26800,0.32,32484,0,0,0,0
26900,0.32,32420,0,0,0,0
27000,0.32,32512,0,0,0,0
27100,0.31,32500,0,0,0,0
27200,0.32,32504,0,0,0,0
27300,0.32,32512,0,0,0,0
27400,0.32,32512,0,0,0,0
27500,0.33,32488,0,0,0,0
27600,0.33,32492,0,0,0,0
27700,0.32,32508,0,0,0,0
27800,0.38,32508,0,0,0,0
27900,0.38,32432,0,0,0,0
28000,0.37,32504,0,0,0,0
28100,0.33,32516,0,0,0,0
28200,0.32,32516,0,0,0,0
28300,0.34,32492,0,0,0,0
28400,0.34,33328,0,0,0,0
28500,0.34,33312,0,0,0,0
28600,0.34,33264,0,0,0,0
28700,0.34,33328,0,0,0,0
28800,0.35,33264,0,0,0,0
28900,0.35,33348,0,0,0,0
29000,0.34,33340,0,0,0,0
29100,0.41,33296,0,0,0,0
29200,0.39,33212,0,0,0,0
29300,0.35,33364,0,0,0,0
29400,0.34,33284,0,0,0,0
29500,0.35,33336,0,0,0,0
29600,0.36,33328,0,0,0,0
29700,0.35,33232,0,0,0,0
29800,0.35,33296,0,0,0,0
29900,0.35,33340,0,0,0,0
