n,time,fn
0,384250,0
10,1346675,10
20,4020249,20
30,6922300,29
40,8538731,39
50,13578029,49
60,20751059,58
70,25927345,66
80,36602801,73
90,50027733,87
100,54785935,92
110,63520112,104
120,95541563,113
130,97451364,122
140,114158210,135
150,158837244,144
160,151766676,154
170,174078502,159
180,194076478,171
190,290853828,181
200,249923212,192
210,276824694,197
220,314353991,207
230,342011631,219
240,521468447,220
250,404962334,240
