n,time,fn
0,1373,0
10,219502,10
20,779182,19
30,1724865,30
40,2990138,40
50,4789132,48
60,6570934,58
70,9125174,70
80,12117006,76
90,15607922,85
100,19455118,97
110,24590679,105
120,28396748,112
130,36535071,126
140,43315076,136
150,46676440,141
160,53856517,151
170,66630474,163
180,67637082,172
190,76306461,179
200,88152097,192
210,96127475,201
220,116274209,209
230,116659202,219
240,128300815,225
250,144271609,239
