n,time,knap
1,14,11
2,14,12
3,14,36
4,14,41
5,14,67
6,14,72
7,14,73
8,15,87
9,18,101
10,20,105
11,24,111
12,28,111
13,43,125
14,52,133
15,72,133
16,81,137
17,136,137
18,180,137
19,275,137
20,410,152
21,687,158
22,1132,179
23,1821,180
24,2568,180
25,3714,188
26,4637,193
27,6731,205
28,9399,205
29,10768,205
30,14946,205
31,28840,232
32,38008,232
33,47076,232
34,69307,233
35,75548,233
