n,time,r
341,4631803,1984
342,59834521,1984
343,62926018,1984
344,35493770,1984
345,543400,1984
346,5375518,1984
347,539621,1984
348,580337,1984
349,17871636,1984
350,25982967,1984
351,11464751,1984
352,626787,1984
353,2002413,1984
354,36809944,1984
355,52464408,1984
356,960951,1984
357,6180008,1984
358,2708568,1984
359,9944653,1984
360,562134,1984
361,4037784,1984
362,80135493,1984
363,550717,1984
364,552241,1984
365,8931728,1984
366,983986,1984
367,17853052,1984
368,9892949,1984
369,647106,1984
370,102416544,1984
371,606038,1984
372,13961607,1984
373,600334,1984
374,24010427,1984
375,566695,1984
376,19453310,1984
377,559749,1984
378,114498239,1984
379,67629340,1984
380,4995045,1984
381,6016760,1984
382,5493929,1984
383,672326,1984
384,728379,1984
385,597779,1984
386,713083,1984
387,8800226,1984
388,646534,1984
389,598510,1984
390,27769107,1984
391,21855962,1984
392,1463243,1984
393,646153,1984
394,700272,1984
395,719908,1984
396,30724220,1984
397,6557373,1984
398,613466,1984
399,665359,1984
400,133880190,2142
401,22618964,2142
402,44434511,2142
403,107642828,2142
404,67684802,2142
405,8502360,2142
406,751494,2142
407,26944219,2142
408,13700557,2142
409,94125216,2142
410,618969,2142
411,3473154,2142
412,22806920,2142
413,52551195,2142
414,112689977,2142
415,5259352,2142
416,1416702,2142
417,745489,2142
418,9374850,2142
419,680886,2142
420,6328179,2142
421,7067273,2142
422,660979,2142
423,1266095,2142
424,55816555,2142
425,18577352,2142
426,73568175,2142
427,666392,2142
428,2004657,2142
429,657430,2142
430,701284,2142
431,15129729,2142
432,670150,2142
433,39946088,2142
434,857756,2142
435,674190,2142
436,96788236,2142
437,24819185,2142
438,4857399,2142
439,1869347,2142
440,145143341,2142
441,9618428,2142
442,5278979,2142
443,7419910,2142
444,1218502,2142
445,6382308,2142
446,14344094,2142
447,76528422,2142
448,662332,2142
449,663966,2142
450,691020,2142
451,438623203,2303
452,11450176,2303
453,10508310,2303
454,827544,2303
455,707138,2303
456,2902830,2303
457,208818999,2303
458,687171,2303
459,41785203,2303
460,8786043,2303
461,825900,2303
462,695721,2379
463,56046400,2379
464,733621,2379
465,1421665,2379
466,936603,2379
467,73199922,2379
468,735726,2379
469,74385596,2379
470,715268,2379
471,27402847,2379
472,70475937,2379
473,11177198,2379
474,2313491,2379
475,35139841,2379
476,1666295,2379
477,1248934,2379
478,810574,2379
479,65538739,2379
480,79890732,2379
481,36167720,2379
482,25417636,2379
483,124018003,2379
484,55662920,2379
485,27392603,2379
486,7412042,2379
