n,time,fn
0,45,29
1,95,28
2,120,30
3,123,28
4,150,29
5,153,29
6,178,30
7,248,29
8,249,29
9,277,29
10,288,30
11,321,29
12,344,30
13,352,30
14,406,30
15,443,27
16,472,29
17,502,29
18,524,29
19,531,29
20,604,27
21,606,30
22,641,30
23,693,28
24,718,30
25,816,28
26,875,30
27,908,29
28,1288,30
29,1744,30
